Segment,n,MAPE (%),MAE ($),R²,Within 10%,Avg Bias ($)
Under $200K,333,46.60778157002096,76106.48711993241,-13.883769536943957,11.411411411411411,74090.83654748496
$200K-$300K,1332,24.750836333462235,62388.32948573573,-7.807360500976111,29.87987987987988,44384.67035003754
$300K-$400K,1471,17.768924871868577,61535.328486148865,-7.042498085751054,37.1855880353501,14614.01991629844
$400K-$500K,1273,15.438442131765347,69258.07962244698,-7.920366738784541,38.33464257659073,-16473.112615377064
$500K-$700K,1147,16.984351497588776,98919.27283129904,-3.702543183470185,31.56059285091543,-66588.67033565826
$700K-$1M,349,22.497044785744897,182242.4075931232,-5.299715452565194,19.770773638968482,-156355.84563037253
$1M+,95,20.462656225747732,259348.84736842112,-0.7707575220946585,21.052631578947366,-216369.1789473685
